컬럼

| table_name               | pos | column_name             | data_type                | udt_name    | is_nullable | column_default                                  | char_len | num_prec | num_scale |
| minigame_plays           | 2   | minigame_id             | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| minigame_plays           | 3   | profile_id              | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| minigame_plays           | 4   | score                   | integer                  | int4        | YES         | null                                            | null     | 32       | 0         |
| minigame_plays           | 5   | stat_gained             | integer                  | int4        | NO          | 0                                               | null     | 32       | 0         |
| minigame_plays           | 6   | mobil_gained            | integer                  | int4        | NO          | 0                                               | null     | 32       | 0         |
| minigame_plays           | 7   | target_stat             | text                     | text        | YES         | null                                            | null     | null     | null      |
| minigame_plays           | 8   | play_date               | date                     | date        | NO          | ((now() AT TIME ZONE 'Asia/Seoul'::text))::date | null     | null     | null      |
| minigame_plays           | 9   | result_detail           | jsonb                    | jsonb       | NO          | '{}'::jsonb                                     | null     | null     | null      |
| minigame_plays           | 10  | played_at               | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| minigames                | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| minigames                | 2   | code                    | text                     | text        | NO          | null                                            | null     | null     | null      |
| minigames                | 3   | name                    | text                     | text        | NO          | null                                            | null     | null     | null      |
| minigames                | 4   | category                | text                     | text        | NO          | null                                            | null     | null     | null      |
| minigames                | 5   | subtype                 | text                     | text        | NO          | null                                            | null     | null     | null      |
| minigames                | 6   | target_stat             | text                     | text        | YES         | null                                            | null     | null     | null      |
| minigames                | 7   | base_stat_gain          | integer                  | int4        | NO          | 0                                               | null     | 32       | 0         |
| minigames                | 8   | base_mobil_gain         | integer                  | int4        | NO          | 0                                               | null     | 32       | 0         |
| minigames                | 9   | rhythm_data             | jsonb                    | jsonb       | YES         | null                                            | null     | null     | null      |
| minigames                | 10  | is_active               | boolean                  | bool        | NO          | true                                            | null     | null     | null      |
| minigames                | 11  | metadata                | jsonb                    | jsonb       | NO          | '{}'::jsonb                                     | null     | null     | null      |
| minigames                | 12  | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| minigames                | 13  | updated_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| mobil_grants             | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| mobil_grants             | 2   | profile_id              | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| mobil_grants             | 3   | grant_type              | text                     | text        | NO          | null                                            | null     | null     | null      |
| mobil_grants             | 4   | amount                  | integer                  | int4        | NO          | null                                            | null     | 32       | 0         |
| mobil_grants             | 5   | note                    | text                     | text        | YES         | null                                            | null     | null     | null      |
| mobil_grants             | 6   | grant_date              | date                     | date        | NO          | ((now() AT TIME ZONE 'Asia/Seoul'::text))::date | null     | null     | null      |
| mobil_grants             | 7   | granted_by              | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| mobil_grants             | 8   | granted_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| notices                  | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| notices                  | 2   | category                | text                     | text        | NO          | null                                            | null     | null     | null      |
| notices                  | 3   | title                   | text                     | text        | NO          | null                                            | null     | null     | null      |
| notices                  | 4   | body                    | text                     | text        | NO          | null                                            | null     | null     | null      |
| notices                  | 5   | author_id               | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| notices                  | 6   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| notices                  | 7   | updated_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| personal_memos           | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| personal_memos           | 2   | profile_id              | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| personal_memos           | 3   | memo_date               | date                     | date        | NO          | null                                            | null     | null     | null      |
| personal_memos           | 4   | body                    | text                     | text        | NO          | null                                            | null     | null     | null      |
